Epoch,V,BX_GSE,BY_GSM,BZ_GSM,N
2010-01-01 00:00:00,283.0,0.0,2.5,1.6,3.7
2010-01-01 01:00:00,280.0,-0.7,2.2,1.6,3.8
2010-01-01 02:00:00,280.0,-0.6,2.5,1.2,3.8
2010-01-01 03:00:00,281.0,-0.4,2.6,1.0,3.8
2010-01-01 04:00:00,282.0,-0.4,2.8,0.3,3.7
2010-01-01 05:00:00,280.0,-0.2,2.5,1.3,3.5
2010-01-01 06:00:00,281.0,-0.2,2.4,1.0,3.8
2010-01-01 07:00:00,286.0,0.3,1.8,0.2,3.8
2010-01-01 08:00:00,293.0,1.5,2.3,0.1,3.8
2010-01-01 09:00:00,290.0,0.7,2.2,1.5,3.9
2010-01-01 10:00:00,291.0,0.4,2.6,0.6,3.9
2010-01-01 11:00:00,289.0,-0.3,3.1,1.1,3.8
2010-01-01 12:00:00,285.0,-0.9,3.5,1.5,3.7
2010-01-01 13:00:00,296.0,0.0,4.2,0.4,4.4
2010-01-01 14:00:00,289.0,-1.1,3.6,1.0,5.1
2010-01-01 15:00:00,291.0,-1.1,2.3,1.5,5.3
2010-01-01 16:00:00,281.0,-2.0,3.0,0.9,5.2
2010-01-01 17:00:00,285.0,-1.6,3.1,0.4,5.7
2010-01-01 18:00:00,293.0,-0.3,3.5,1.2,9.3
2010-01-01 19:00:00,292.0,-0.4,3.2,2.0,11.5
2010-01-01 20:00:00,293.0,-0.3,3.7,1.2,12.3
2010-01-01 21:00:00,294.0,-1.0,4.5,1.4,12.1
2010-01-01 22:00:00,297.0,-1.2,5.2,0.7,13.4
2010-01-01 23:00:00,300.0,0.6,1.1,5.8,11.7
2010-01-02 00:00:00,302.0,0.9,0.9,7.3,8.9
2010-01-02 01:00:00,302.0,0.6,-2.6,5.7,7.6
2010-01-02 02:00:00,304.0,0.1,-2.3,6.1,7.2
2010-01-02 03:00:00,300.0,0.0,-3.7,5.5,6.9
2010-01-02 04:00:00,301.0,0.8,-3.8,5.7,5.7
2010-01-02 05:00:00,299.0,1.3,-2.8,6.7,5.6
2010-01-02 06:00:00,301.0,1.9,0.5,6.9,6.3
2010-01-02 07:00:00,298.0,1.7,1.7,6.3,7.7
2010-01-02 08:00:00,293.0,1.0,3.1,5.8,8.3
2010-01-02 09:00:00,291.0,0.9,4.8,4.5,8.8
2010-01-02 10:00:00,289.0,1.2,5.1,4.3,9.7
2010-01-02 11:00:00,288.0,1.3,5.0,4.2,8.5
2010-01-02 12:00:00,290.0,1.9,5.5,3.7,7.8
2010-01-02 13:00:00,286.0,1.4,5.9,3.2,8.3
2010-01-02 14:00:00,285.0,0.8,5.0,4.7,8.6
2010-01-02 15:00:00,283.0,0.3,3.3,5.0,9.1
2010-01-02 16:00:00,283.0,1.7,2.4,5.2,9.4
2010-01-02 17:00:00,282.0,0.5,4.2,4.7,8.6
2010-01-02 18:00:00,282.0,0.8,5.6,4.9,7.6
2010-01-02 19:00:00,282.0,0.8,6.9,2.4,7.7
2010-01-02 20:00:00,280.0,0.0,6.5,1.4,8.0
2010-01-02 21:00:00,279.0,-0.3,6.3,-0.6,7.8
2010-01-02 22:00:00,277.0,-0.7,5.6,-1.5,7.7
2010-01-02 23:00:00,271.0,-1.2,5.0,0.0,8.0
2010-01-03 00:00:00,276.0,-0.3,4.9,-2.5,7.2
2010-01-03 01:00:00,277.0,0.0,5.2,-1.5,7.0
2010-01-03 02:00:00,271.0,-0.8,5.2,-0.4,7.0
2010-01-03 03:00:00,283.0,1.0,5.1,-2.2,7.1
2010-01-03 04:00:00,270.0,-1.6,5.0,-0.8,7.5
2010-01-03 05:00:00,280.0,0.0,5.3,-3.2,8.2
2010-01-03 06:00:00,281.0,-0.9,5.8,-3.3,9.4
2010-01-03 07:00:00,281.0,-1.2,6.1,-3.4,9.4
